"Freq. I(V1)"
"1.48000000000000e+04   (-2.12037714730843e+02dB,2.42684910933324e+01°)"
"1.48500000000000e+04   (-2.11844597343501e+02dB,1.96651541634257e+01°)"
"1.49000000000000e+04   (-2.11707674553037e+02dB,1.50323745627569e+01°)"
"1.49500000000000e+04   (-2.11625389777189e+02dB,1.02499032931306e+01°)"
"1.50000000000000e+04   (-1.86032402158157e+02dB,-1.73315841821411e+02°)"
"1.50500000000000e+04   (-2.11624559824396e+02dB,2.05159841836703e+00°)"
"1.51000000000000e+04   (-2.11704157874479e+02dB,-2.73086488413720e+00°)"
"1.51500000000000e+04   (-2.11838745203639e+02dB,-7.36356113597783e+00°)"
"1.52000000000000e+04   (-2.12029637784380e+02dB,-1.19683959208842e+01°)"
"1.52500000000000e+04   (-2.12280568938900e+02dB,-1.65481722483831e+01°)"
"1.53000000000000e+04   (-2.12593878650222e+02dB,-2.11333316421057e+01°)"
"1.53500000000000e+04   (-2.12974703994447e+02dB,-2.57227647057746e+01°)"
"1.54000000000000e+04   (-2.14921342106323e+02dB,-2.76245566318040e+01°)"
"1.54500000000000e+04   (-2.13965118941856e+02dB,-3.49158232571479e+01°)"
"1.55000000000000e+04   (-2.14594077817721e+02dB,-3.95390683342418e+01°)"
"1.55500000000000e+04   (-2.15330133464239e+02dB,-4.41832894198372e+01°)"
"1.56000000000000e+04   (-2.16193016783313e+02dB,-4.88487374022857e+01°)"
"1.56500000000000e+04   (-2.17211549913024e+02dB,-5.35793037863010e+01°)"
"1.57000000000000e+04   (-2.18426561046805e+02dB,-5.83685838581557e+01°)"
"1.57500000000000e+04   (-2.19902999415564e+02dB,-6.32664979723557e+01°)"
"1.58000000000000e+04   (-2.18362109272961e+02dB,-4.38934108520229e+01°)"
"1.58500000000000e+04   (-2.24153540994158e+02dB,-7.38630524943437e+01°)"
"1.59000000000000e+04   (-2.27575540797625e+02dB,-8.03026425791652e+01°)"
"1.59500000000000e+04   (-2.33347756672669e+02dB,-9.04432577160965e+01°)"
"1.60000000000000e+04   (-2.56567232308068e+02dB,-1.51943890531447e+02°)"
